Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Fatafat Banake do.,UD-1,10043,Epic,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,High,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 10:44 AM,01/Apr/26 10:44 AM,,,Kardo 1,15/Apr/26 12:00 AM,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7236c928,,,,,ghx-label-3,,To Do,,,,yellow,,,,,0|i0002f:,,,UD Sprint 1,01/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,01/Apr/26 10:44 AM
AS A USER I SHOULD BE ABLE TO SEE DIFFERENT COURSE AVAILABLE,UD-12,10056,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:39 AM,01/Apr/26 11:39 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1278dedc,,,,,,,,,,,,,,,,0|i0004v:,,,UD Sprint 1,,,,,,,,,,,,10053,UD-10,COURSE DETAILS,To Do,01/Apr/26 11:39 AM
AS A USER I SHOULD BE ABLE TO SEE COURSE INFO,UD-13,10057,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:40 AM,01/Apr/26 11:40 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e55d499,,,,,,,,,,,,,,,,0|i00053:,,,UD Sprint 1,,,,,,,,,,,,10053,UD-10,COURSE DETAILS,To Do,01/Apr/26 11:40 AM
AS A USER I SHOULD BE ABLE TO SEE VIDEO PREVIEW,UD-14,10058,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:40 AM,01/Apr/26 11:40 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@57cb58dc,,,,,,,,,,,,,,,,0|i0005b:,,,UD Sprint 1,,,,,,,,,,,,10053,UD-10,COURSE DETAILS,To Do,01/Apr/26 11:40 AM
AS A USER I SHOULD BE ABLE TO  ENROLL IN ANY COUSE AVAILABLE,UD-15,10059,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:40 AM,01/Apr/26 11:40 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2203c7ca,,,,,,,,,,,,,,,,0|i0005j:,,,UD Sprint 1,,,,,,,,,,,,10053,UD-10,COURSE DETAILS,To Do,01/Apr/26 11:40 AM
AS A USER I SHOULD BE ABLE TO SEE MY ENROLLED COURSES,UD-16,10060,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:41 AM,01/Apr/26 11:41 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58e3433,,,,,,,,,,,,,,,,0|i0005r:,,,UD Sprint 1,,,,,,,,,,,,10053,UD-10,COURSE DETAILS,To Do,01/Apr/26 11:41 AM
AS A USER I SHOULD BE ABLE TO SEE MY COURSE PROGRESS,UD-17,10061,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:41 AM,01/Apr/26 11:41 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a1a3b43,,,,,,,,,,,,,,,,0|i0005z:,,,UD Sprint 1,,,,,,,,,,,,10053,UD-10,COURSE DETAILS,To Do,01/Apr/26 11:41 AM
AS A USER I SHOULD BE ABLE TO CONTINUE LEARNING (RESUME WATCHING),UD-18,10062,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:58 AM,01/Apr/26 11:58 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@81839ed,,,,,,,,,,,,,,,,0|i00067:,,,UD Sprint 1,,,,,,,,,,,,10053,UD-10,COURSE DETAILS,To Do,01/Apr/26 11:58 AM
AS A USER I SHOULD BE ABLE TO SEE LECTURE PLAYBACK,UD-19,10063,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:58 AM,01/Apr/26 11:58 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@15a65191,,,,,,,,,,,,,,,,0|i0006f:,,,UD Sprint 1,,,,,,,,,,,,10053,UD-10,COURSE DETAILS,To Do,01/Apr/26 11:58 AM
AS A USER I SHOULD BE ABLE TO GOTO NEXT LECTURE,UD-20,10064,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:59 AM,01/Apr/26 11:59 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1f429e8b,,,,,,,,,,,,,,,,0|i0006n:,,,UD Sprint 1,,,,,,,,,,,,10053,UD-10,COURSE DETAILS,To Do,01/Apr/26 11:59 AM
AS A USER I SHOULD BE ABLE TO GIVE REVIEW,UD-21,10065,Story,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 11:59 AM,01/Apr/26 11:59 AM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f0366ee,,,,,,,,,,,,,,,,0|i0006v:,,,UD Sprint 1,,,,,,,,,,,,10053,UD-10,COURSE DETAILS,To Do,01/Apr/26 11:59 AM
WRITE FUNCTIONALITY TEST CASES FOR USER REGISTERATION,UD-22,10066,Task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 12:27 PM,01/Apr/26 3:16 PM,01/Apr/26 3:16 PM,,Kardo 1,01/Apr/26 12:00 AM,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5798b9c2,,,,,,,,,,,,,,,,0|i00073:,,,UD Sprint 1,01/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,01/Apr/26 12:27 PM
WRITE TEST CASE FOR FULL NAME TEXT FEILD,UD-23,10068,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 12:37 PM,01/Apr/26 12:37 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6b191efc,,,,,,,,,,,,,,,,0|i0007b:,,,UD Sprint 1,,,,,,,,,,,,10066,UD-22,WRITE FUNCTIONALITY TEST CASES FOR USER REGISTERATION,To Do,01/Apr/26 12:37 PM
WRITE TEST CASE FOR EMAIL,UD-24,10070,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 12:38 PM,01/Apr/26 12:38 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6eedbd0b,,,,,,,,,,,,,,,,0|i0007j:,,,UD Sprint 1,,,,,,,,,,,,10066,UD-22,WRITE FUNCTIONALITY TEST CASES FOR USER REGISTERATION,To Do,01/Apr/26 12:38 PM
WRITE TEST CASE FOR MOBILE NUMBER,UD-25,10072,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 12:38 PM,01/Apr/26 12:38 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4c90b0ba,,,,,,,,,,,,,,,,0|i0007r:,,,UD Sprint 1,,,,,,,,,,,,10066,UD-22,WRITE FUNCTIONALITY TEST CASES FOR USER REGISTERATION,To Do,01/Apr/26 12:38 PM
WRITE TEST CASE FOR PASSWORD,UD-26,10074,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 12:38 PM,01/Apr/26 12:38 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@65079fe5,,,,,,,,,,,,,,,,0|i0007z:,,,UD Sprint 1,,,,,,,,,,,,10066,UD-22,WRITE FUNCTIONALITY TEST CASES FOR USER REGISTERATION,To Do,01/Apr/26 12:38 PM
WRITE TEST CASE FOR CONFIRM PASSWORD,UD-27,10076,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 12:38 PM,01/Apr/26 12:38 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5f2f306e,,,,,,,,,,,,,,,,0|i00087:,,,UD Sprint 1,,,,,,,,,,,,10066,UD-22,WRITE FUNCTIONALITY TEST CASES FOR USER REGISTERATION,To Do,01/Apr/26 12:38 PM
WRITE TEST CASE FOR TERMS AND CONDITION,UD-28,10078,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 12:38 PM,01/Apr/26 12:38 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d20f658,,,,,,,,,,,,,,,,0|i0008f:,,,UD Sprint 1,,,,,,,,,,,,10066,UD-22,WRITE FUNCTIONALITY TEST CASES FOR USER REGISTERATION,To Do,01/Apr/26 12:38 PM
WRITE TEST CASE FOR SIGN UP BUTTON,UD-29,10080,Sub-task,To Do,UD,UDEMY,software,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,Medium,,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,01/Apr/26 12:39 PM,01/Apr/26 12:39 PM,,,,,0,,,Aryan Srivastava,712020:b3f164d9-4552-40ef-a1b7-76ae147cc068,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78a93b5b,,,,,,,,,,,,,,,,0|i0008n:,,,UD Sprint 1,,,,,,,,,,,,10066,UD-22,WRITE FUNCTIONALITY TEST CASES FOR USER REGISTERATION,To Do,01/Apr/26 12:39 PM
